Company,Country,Ticker,Market,Currency,Date,Open,High,Low,Close,Volume
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-08 00:00:00+01:00,445.81,447.34,440.6,446.38,731078
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-09 00:00:00+01:00,446.09,451.73,442.61,448.91,615547
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-10 00:00:00+01:00,448.34,451.54,440.69,443.51,688301
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-11 00:00:00+01:00,445.42,459.14,444.23,459.14,848642
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-12 00:00:00+01:00,464.49,474.62,463.49,472.8,1146427
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-15 00:00:00+01:00,472.76,479.45,471.8,475.91,686679
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-16 00:00:00+01:00,477.82,480.31,475.77,477.68,700129
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-17 00:00:00+01:00,475.62,478.59,462.87,462.87,894997
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-18 00:00:00+01:00,466.07,471.94,456.22,460.0,903937
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-19 00:00:00+01:00,463.77,472.99,462.72,472.09,1001947
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-22 00:00:00+01:00,463.96,469.17,456.8,462.24,829498
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-23 00:00:00+01:00,456.8,457.94,441.51,451.92,1003719
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-24 00:00:00+01:00,449.63,459.14,445.85,452.45,840967
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-25 00:00:00+01:00,464.87,465.25,452.5,453.88,770099
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-02-26 00:00:00+01:00,440.26,451.92,436.3,444.71,1705206
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-01 00:00:00+01:00,458.09,460.67,450.92,459.62,920322
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-02 00:00:00+01:00,461.19,461.72,449.82,450.54,801057
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-03 00:00:00+01:00,451.06,452.97,439.69,443.42,1002557
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-04 00:00:00+01:00,432.38,437.49,415.66,416.28,1365394
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-05 00:00:00+01:00,407.77,423.87,403.52,409.44,1262700
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-08 00:00:00+01:00,414.61,425.45,409.21,419.38,1205457
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-09 00:00:00+01:00,416.66,432.28,415.32,429.7,1336935
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-10 00:00:00+01:00,433.53,435.06,422.92,424.78,817321
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-11 00:00:00+01:00,430.95,439.12,430.04,436.63,888249
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-12 00:00:00+01:00,431.76,432.48,423.3,427.03,755591
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-15 00:00:00+01:00,428.13,434.91,426.65,433.81,632242
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-16 00:00:00+01:00,439.5,446.05,436.2,442.84,830018
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-17 00:00:00+01:00,442.22,445.47,435.96,440.65,866164
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-18 00:00:00+01:00,443.42,444.61,437.11,440.55,759541
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-19 00:00:00+01:00,434.82,444.95,433.91,444.04,1855305
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-22 00:00:00+01:00,444.09,457.61,442.56,456.8,826895
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-23 00:00:00+01:00,459.52,461.1,451.54,451.54,743641
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-24 00:00:00+01:00,466.64,477.82,465.49,470.37,1289582
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-25 00:00:00+01:00,468.6,471.7,460.09,469.55,817991
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-26 00:00:00+01:00,474.95,498.18,472.66,493.97,1134610
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-29 00:00:00+02:00,499.7,502.95,490.91,493.59,927861
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-30 00:00:00+02:00,493.78,496.55,486.99,493.4,809553
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-03-31 00:00:00+02:00,490.53,497.41,487.95,494.07,1149487
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-01 00:00:00+02:00,506.49,512.51,499.9,505.82,1336363
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-06 00:00:00+02:00,516.05,519.1,507.54,509.64,947731
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-07 00:00:00+02:00,506.49,507.16,499.13,501.62,861199
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-08 00:00:00+02:00,505.06,514.42,502.95,508.4,775805
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-09 00:00:00+02:00,508.59,512.99,504.87,511.75,539892
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-12 00:00:00+02:00,510.12,514.71,498.08,501.14,589915
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-13 00:00:00+02:00,503.24,512.32,501.9,502.38,739050
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-14 00:00:00+02:00,504.1,512.32,500.09,506.78,682242
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-15 00:00:00+02:00,507.64,510.79,500.95,506.39,670827
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-16 00:00:00+02:00,510.31,512.89,504.2,512.61,818952
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-19 00:00:00+02:00,514.14,515.76,498.65,499.04,695381
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-20 00:00:00+02:00,498.84,504.2,488.62,489.29,875834
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-21 00:00:00+02:00,511.27,517.77,505.34,509.26,904827
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-22 00:00:00+02:00,518.91,528.76,516.24,519.58,896243
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-23 00:00:00+02:00,517.38,530.38,515.28,529.52,773332
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-26 00:00:00+02:00,530.29,532.96,525.6,532.29,556857
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-27 00:00:00+02:00,530.38,534.59,523.21,528.18,698811
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-28 00:00:00+02:00,528.18,530.38,523.79,525.41,508201
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-29 00:00:00+02:00,525.41,532.39,517.38,518.72,699373
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-04-30 00:00:00+02:00,518.53,523.21,515.0,517.19,729987
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-03 00:00:00+02:00,519.45,525.96,514.85,516.38,508494
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-04 00:00:00+02:00,515.8,519.92,491.84,492.61,1069887
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-05 00:00:00+02:00,503.25,517.05,502.1,517.05,824503
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-06 00:00:00+02:00,516.47,518.01,500.85,507.75,746548
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-07 00:00:00+02:00,512.45,521.27,504.49,521.27,674120
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-10 00:00:00+02:00,518.39,518.49,502.0,503.82,599064
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-11 00:00:00+02:00,487.05,494.43,484.66,493.28,1265129
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-12 00:00:00+02:00,492.32,495.68,482.26,482.74,868493
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-13 00:00:00+02:00,479.67,498.07,471.67,491.36,902412
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-14 00:00:00+02:00,502.29,506.03,492.9,506.03,749708
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-17 00:00:00+02:00,509.86,510.34,494.34,497.21,633384
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-18 00:00:00+02:00,503.92,507.18,499.13,501.14,554325
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-19 00:00:00+02:00,491.65,493.38,473.83,487.82,990779
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-20 00:00:00+02:00,493.76,503.06,488.87,503.06,804251
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-21 00:00:00+02:00,507.94,509.86,501.24,503.54,816532
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-24 00:00:00+02:00,503.54,515.61,501.62,514.08,447144
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-25 00:00:00+02:00,518.87,531.23,517.62,524.52,927045
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-26 00:00:00+02:00,526.83,526.83,516.38,519.35,538666
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-27 00:00:00+02:00,519.73,524.52,515.42,521.36,1123807
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-28 00:00:00+02:00,522.13,529.99,519.54,529.32,562085
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-05-31 00:00:00+02:00,531.9,532.96,524.24,524.43,453114
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-01 00:00:00+02:00,525.1,539.0,525.1,528.17,650457
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-02 00:00:00+02:00,526.83,533.05,520.98,532.0,628522
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-03 00:00:00+02:00,531.14,532.58,521.27,526.54,584706
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-04 00:00:00+02:00,525.58,536.89,524.81,534.88,470099
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-06-07 00:00:00+02:00,535.83,537.18,531.23,534.68,521985
