Company,Country,Ticker,Market,Date,Open,High,Low,Close,Volume
ASML (Netherlands),Netherlands,ASML,US,2021-02-08 00:00:00-05:00,533.36,541.93,533.36,539.13,716900
ASML (Netherlands),Netherlands,ASML,US,2021-02-09 00:00:00-05:00,541.55,546.71,540.56,540.56,483300
ASML (Netherlands),Netherlands,ASML,US,2021-02-10 00:00:00-05:00,546.23,547.79,535.02,541.89,458600
ASML (Netherlands),Netherlands,ASML,US,2021-02-11 00:00:00-05:00,549.29,565.69,548.52,565.42,975400
ASML (Netherlands),Netherlands,ASML,US,2021-02-12 00:00:00-05:00,565.86,574.93,563.17,571.62,732400
ASML (Netherlands),Netherlands,ASML,US,2021-02-16 00:00:00-05:00,578.87,581.87,572.75,576.54,621600
ASML (Netherlands),Netherlands,ASML,US,2021-02-17 00:00:00-05:00,571.96,572.09,555.82,561.67,825100
ASML (Netherlands),Netherlands,ASML,US,2021-02-18 00:00:00-05:00,558.59,563.46,550.65,556.79,716800
ASML (Netherlands),Netherlands,ASML,US,2021-02-19 00:00:00-05:00,565.74,574.26,563.4,568.19,821500
ASML (Netherlands),Netherlands,ASML,US,2021-02-22 00:00:00-05:00,561.71,564.09,551.08,552.99,753400
ASML (Netherlands),Netherlands,ASML,US,2021-02-23 00:00:00-05:00,546.51,553.64,535.43,550.66,1004800
ASML (Netherlands),Netherlands,ASML,US,2021-02-24 00:00:00-05:00,548.05,569.68,540.61,568.77,1023000
ASML (Netherlands),Netherlands,ASML,US,2021-02-25 00:00:00-05:00,556.93,560.54,534.98,535.08,1288900
ASML (Netherlands),Netherlands,ASML,US,2021-02-26 00:00:00-05:00,547.1,548.2,535.97,542.08,946500
ASML (Netherlands),Netherlands,ASML,US,2021-03-01 00:00:00-05:00,547.13,558.59,543.77,557.81,679500
ASML (Netherlands),Netherlands,ASML,US,2021-03-02 00:00:00-05:00,553.49,554.3,538.17,538.3,696100
ASML (Netherlands),Netherlands,ASML,US,2021-03-03 00:00:00-05:00,539.69,540.99,517.33,519.63,1006900
ASML (Netherlands),Netherlands,ASML,US,2021-03-04 00:00:00-05:00,514.13,517.46,479.95,487.99,1702500
ASML (Netherlands),Netherlands,ASML,US,2021-03-05 00:00:00-05:00,504.69,507.44,485.91,503.8,1370100
ASML (Netherlands),Netherlands,ASML,US,2021-03-08 00:00:00-05:00,503.22,505.83,479.01,480.04,1180700
ASML (Netherlands),Netherlands,ASML,US,2021-03-09 00:00:00-05:00,504.37,519.25,501.8,515.73,1240500
ASML (Netherlands),Netherlands,ASML,US,2021-03-10 00:00:00-05:00,516.26,517.92,498.13,500.25,876500
ASML (Netherlands),Netherlands,ASML,US,2021-03-11 00:00:00-05:00,522.87,524.3,516.19,520.39,1009700
ASML (Netherlands),Netherlands,ASML,US,2021-03-12 00:00:00-05:00,510.56,515.31,505.29,513.92,714900
ASML (Netherlands),Netherlands,ASML,US,2021-03-15 00:00:00-04:00,514.91,523.64,512.37,523.06,582400
ASML (Netherlands),Netherlands,ASML,US,2021-03-16 00:00:00-04:00,522.28,531.22,521.88,525.15,651600
ASML (Netherlands),Netherlands,ASML,US,2021-03-17 00:00:00-04:00,524.04,541.09,518.92,534.89,841400
ASML (Netherlands),Netherlands,ASML,US,2021-03-18 00:00:00-04:00,523.81,528.11,515.25,515.41,790000
ASML (Netherlands),Netherlands,ASML,US,2021-03-19 00:00:00-04:00,520.67,532.52,517.44,523.28,1404600
ASML (Netherlands),Netherlands,ASML,US,2021-03-22 00:00:00-04:00,542.61,552.5,538.96,550.59,1216800
ASML (Netherlands),Netherlands,ASML,US,2021-03-23 00:00:00-04:00,544.4,546.09,531.0,534.22,866300
ASML (Netherlands),Netherlands,ASML,US,2021-03-24 00:00:00-04:00,561.28,568.25,552.51,553.06,2121400
